seq_no,piece,PC,resolveDir
3249,0,4496584,0
3255,0,4496584,0
3261,0,4496584,0
3246,0,4496596,1
3267,0,4496584,0
3252,0,4496596,1
3273,0,4496584,0
3258,0,4496596,1
3279,0,4496584,0
3264,0,4496596,1
3285,0,4496584,0
3270,0,4496596,1
3291,0,4496584,0
3276,0,4496596,1
3297,0,4496584,1
3282,0,4496596,1
3288,0,4496596,1
3294,0,4496596,1
3301,0,4496908,1
3304,0,4496536,0
3325,0,4496584,0
3331,0,4496584,0
3337,0,4496584,0
3322,0,4496596,1
3343,0,4496584,0
3328,0,4496596,1
3349,0,4496584,0
3334,0,4496596,1
3340,0,4496596,1
3346,0,4496596,1
3352,0,4496596,0
3424,0,4199612,1
3406,0,4199556,0
3476,0,4204140,1
3435,0,4203664,0
3464,0,4204092,0
3483,0,4204192,1
3487,0,4204220,0
3460,0,4203732,1
3470,0,4204116,0
3474,0,4204132,0
3525,0,4201640,0
3528,0,4201652,0
3505,0,4199640,0
3546,0,4496712,0
3530,0,4201660,1
3510,0,4199656,0
3521,0,4199696,1
3579,0,4496796,1
3582,0,4496584,0
3585,0,4496596,0
3657,0,4199612,1
3639,0,4199556,0
3709,0,4204140,1
3668,0,4203664,0
3697,0,4204092,0
3716,0,4204192,1
3720,0,4204220,0
3693,0,4203732,1
3703,0,4204116,0
3707,0,4204132,0
3758,0,4201640,0
3761,0,4201652,0
3738,0,4199640,0
3779,0,4496712,0
3763,0,4201660,1
3743,0,4199656,0
3754,0,4199696,1
3812,0,4496796,1
3815,0,4496584,0
3818,0,4496596,0
3890,0,4199612,1
3872,0,4199556,0
3942,0,4204140,1
3901,0,4203664,0
3930,0,4204092,0
3949,0,4204192,1
3953,0,4204220,0
3926,0,4203732,1
3936,0,4204116,0
3940,0,4204132,0
3991,0,4201640,0
3994,0,4201652,0
3971,0,4199640,0
4012,0,4496712,0
3996,0,4201660,1
3976,0,4199656,0
3987,0,4199696,1
4045,0,4496796,1
4048,0,4496584,0
4051,0,4496596,0
4123,0,4199612,1
4105,0,4199556,0
4175,0,4204140,1
4134,0,4203664,0
4163,0,4204092,0
4182,0,4204192,1
4186,0,4204220,0
4159,0,4203732,1
4169,0,4204116,0
4173,0,4204132,0
4224,0,4201640,0
4227,0,4201652,0
4204,0,4199640,0
4245,0,4496712,0
4229,0,4201660,1
4209,0,4199656,0
4220,0,4199696,1
4278,0,4496796,1
4281,0,4496584,0
4284,0,4496596,0
4355,0,4199612,1
4337,0,4199556,0
4407,0,4204140,1
4366,0,4203664,0
4395,0,4204092,0
4414,0,4204192,1
4418,0,4204220,0
4391,0,4203732,1
4401,0,4204116,0
4405,0,4204132,0
4436,0,4199640,0
4456,0,4201640,0
4459,0,4201652,0
4477,0,4496712,0
4461,0,4201660,1
4441,0,4199656,0
4452,0,4199696,1
4510,0,4496796,1
4513,0,4496584,0
4516,0,4496596,0
4588,0,4199612,1
4570,0,4199556,0
4640,0,4204140,1
4599,0,4203664,0
4628,0,4204092,0
4647,0,4204192,1
4651,0,4204220,0
4624,0,4203732,1
4634,0,4204116,0
4638,0,4204132,0
4689,0,4201640,0
4692,0,4201652,0
4669,0,4199640,0
4710,0,4496712,0
4694,0,4201660,1
4674,0,4199656,0
4685,0,4199696,1
4743,0,4496796,1
4746,0,4496584,0
4749,0,4496596,0
4821,0,4199612,1
4803,0,4199556,0
4873,0,4204140,1
4832,0,4203664,0
4861,0,4204092,0
4880,0,4204192,1
4884,0,4204220,0
4857,0,4203732,1
4867,0,4204116,0
4871,0,4204132,0
4922,0,4201640,0
4925,0,4201652,0
4902,0,4199640,0
4943,0,4496712,0
4927,0,4201660,1
4907,0,4199656,0
4918,0,4199696,1
4976,0,4496796,1
4979,0,4496584,0
4982,0,4496596,0
5054,0,4199612,1
5036,0,4199556,0
5106,0,4204140,1
5065,0,4203664,0
5094,0,4204092,0
5113,0,4204192,1
5117,0,4204220,0
5090,0,4203732,1
5100,0,4204116,0
5104,0,4204132,0
5155,0,4201640,0
5158,0,4201652,0
5135,0,4199640,0
5176,0,4496712,0
5160,0,4201660,1
5217,0,4496584,0
5140,0,4199656,0
5220,0,4496596,0
5151,0,4199696,1
5292,0,4199612,1
5274,0,4199556,0
5344,0,4204140,1
5303,0,4203664,0
5332,0,4204092,0
5351,0,4204192,1
5355,0,4204220,0
5214,0,4496796,1
5328,0,4203732,1
5338,0,4204116,0
5342,0,4204132,0
5393,0,4201640,0
5396,0,4201652,0
5373,0,4199640,0
5414,0,4496712,0
5398,0,4201660,1
5455,0,4496584,0
5378,0,4199656,0
5461,0,4496584,0
5467,0,4496584,0
5473,0,4496584,0
5458,0,4496596,1
5479,0,4496584,0
5464,0,4496596,1
5485,0,4496584,1
5470,0,4496596,1
5389,0,4199696,1
5476,0,4496596,1
5482,0,4496596,1
5489,0,4496908,1
5492,0,4496536,0
5513,0,4496584,0
5519,0,4496584,0
5525,0,4496584,0
5510,0,4496596,1
5531,0,4496584,0
5516,0,4496596,1
5522,0,4496596,1
5528,0,4496596,1
5534,0,4496596,0
5452,0,4496796,1
5606,0,4199612,1
5588,0,4199556,0
5658,0,4204140,1
5617,0,4203664,0
5646,0,4204092,0
5665,0,4204192,1
5669,0,4204220,0
5642,0,4203732,1
5652,0,4204116,0
5656,0,4204132,0
5707,0,4201640,0
5710,0,4201652,0
5687,0,4199640,0
5728,0,4496712,0
5712,0,4201660,1
5769,0,4496584,0
5692,0,4199656,0
5772,0,4496596,0
5703,0,4199696,1
5844,0,4199612,1
5826,0,4199556,0
5896,0,4204140,1
5855,0,4203664,0
5884,0,4204092,0
5903,0,4204192,1
5907,0,4204220,0
5880,0,4203732,1
5890,0,4204116,0
5894,0,4204132,0
5945,0,4201640,0
5948,0,4201652,0
5925,0,4199640,0
5966,0,4496712,0
5930,0,4199656,0
6007,0,4496584,0
5950,0,4201660,1
6010,0,4496596,0
5941,0,4199696,1
6082,0,4199612,1
6064,0,4199556,0
6134,0,4204140,1
6093,0,4203664,0
6122,0,4204092,0
6141,0,4204192,1
6145,0,4204220,0
6118,0,4203732,1
6128,0,4204116,0
6132,0,4204132,0
6183,0,4201640,0
6186,0,4201652,0
6163,0,4199640,0
6204,0,4496712,0
6168,0,4199656,0
6245,0,4496584,0
6188,0,4201660,1
6248,0,4496596,0
6179,0,4199696,1
6320,0,4199612,1
6302,0,4199556,0
6372,0,4204140,1
6331,0,4203664,0
6360,0,4204092,0
6379,0,4204192,1
6383,0,4204220,0
6424,0,4201652,0
6356,0,4203732,1
6483,0,4496584,0
6486,0,4496596,0
6421,0,4201640,0
6366,0,4204116,0
6370,0,4204132,0
6406,0,4199656,0
6401,0,4199640,0
6442,0,4496712,0
6426,0,4201660,1
6417,0,4199696,1
6558,0,4199612,1
6540,0,4199556,0
6610,0,4204140,1
6569,0,4203664,0
6598,0,4204092,0
6617,0,4204192,1
6621,0,4204220,0
6662,0,4201652,0
6594,0,4203732,1
6716,0,4496584,0
6719,0,4496596,0
6659,0,4201640,0
6604,0,4204116,0
6608,0,4204132,0
6644,0,4199656,0
6639,0,4199640,0
6680,0,4496712,0
6664,0,4201660,1
6655,0,4199696,1
6772,0,4199556,0
5766,0,4496796,1
6790,0,4199612,1
6801,0,4203664,0
6830,0,4204092,0
6842,0,4204140,1
6849,0,4204192,1
6836,0,4204116,0
6840,0,4204132,0
6826,0,4203732,1
6853,0,4204220,0
6891,0,4201640,0
6894,0,4201652,0
6871,0,4199640,0
6912,0,4496712,0
6948,0,4496584,0
6876,0,4199656,0
6896,0,4201660,1
6951,0,4496596,0
6887,0,4199696,1
6713,0,4496796,1
7023,0,4199612,1
6004,0,4496796,1
6242,0,4496796,1
6480,0,4496796,1
7005,0,4199556,0
6945,0,4496796,1
7034,0,4203664,0
7063,0,4204092,0
7075,0,4204140,1
7082,0,4204192,1
7059,0,4203732,1
7069,0,4204116,0
7073,0,4204132,0
7086,0,4204220,0
7124,0,4201640,0
7127,0,4201652,0
7104,0,4199640,0
7145,0,4496712,0
7129,0,4201660,1
7181,0,4496584,0
7109,0,4199656,0
7184,0,4496596,0
7256,0,4199612,1
7120,0,4199696,1
7238,0,4199556,0
7308,0,4204140,1
7267,0,4203664,0
7315,0,4204192,1
7296,0,4204092,0
7319,0,4204220,0
7360,0,4201652,0
7292,0,4203732,1
7414,0,4496584,0
7417,0,4496596,0
7489,0,4199612,1
7471,0,4199556,0
7541,0,4204140,1
7500,0,4203664,0
7357,0,4201640,0
7548,0,4204192,1
7178,0,4496796,1
7302,0,4204116,0
7306,0,4204132,0
7529,0,4204092,0
7552,0,4204220,0
7342,0,4199656,0
7593,0,4201652,0
7337,0,4199640,0
7525,0,4203732,1
7378,0,4496712,0
7652,0,4496584,0
7362,0,4201660,1
7353,0,4199696,1
7655,0,4496596,0
7727,0,4199612,1
7709,0,4199556,0
7779,0,4204140,1
7738,0,4203664,0
7590,0,4201640,0
7786,0,4204192,1
7535,0,4204116,0
7539,0,4204132,0
7767,0,4204092,0
7790,0,4204220,0
7575,0,4199656,0
7831,0,4201652,0
7570,0,4199640,0
7763,0,4203732,1
7611,0,4496712,0
7890,0,4496584,0
7595,0,4201660,1
7586,0,4199696,1
7893,0,4496596,0
7965,0,4199612,1
7947,0,4199556,0
8017,0,4204140,1
7976,0,4203664,0
7828,0,4201640,0
8024,0,4204192,1
7411,0,4496796,1
7773,0,4204116,0
7777,0,4204132,0
8028,0,4204220,0
8005,0,4204092,0
7813,0,4199656,0
8069,0,4201652,0
7808,0,4199640,0
8001,0,4203732,1
7849,0,4496712,0
8126,0,4496584,0
7833,0,4201660,1
7824,0,4199696,1
8129,0,4496596,1
8066,0,4201640,0
8011,0,4204116,0
8015,0,4204132,0
8051,0,4199656,0
7649,0,4496796,1
8046,0,4199640,0
8132,0,4496584,0
8087,0,4496712,0
8138,0,4496584,0
8144,0,4496584,0
8071,0,4201660,1
8150,0,4496584,1
8135,0,4496596,1
8062,0,4199696,1
8141,0,4496596,1
8147,0,4496596,1
8154,0,4496908,1
8157,0,4496536,0
8178,0,4496584,0
8184,0,4496584,0
8190,0,4496584,0
8175,0,4496596,1
8181,0,4496596,1
8187,0,4496596,1
8193,0,4496596,0
7887,0,4496796,1
8123,0,4496796,1
8265,0,4199612,1
8247,0,4199556,0
8317,0,4204140,1
8276,0,4203664,0
8305,0,4204092,0
8324,0,4204192,1
8328,0,4204220,0
8369,0,4201652,0
8301,0,4203732,1
8366,0,4201640,0
8311,0,4204116,0
8315,0,4204132,0
8351,0,4199656,0
8346,0,4199640,0
8387,0,4496712,0
8371,0,4201660,1
8362,0,4199696,1
8418,0,4496796,0
8445,0,4496884,1
8448,0,4496596,0
8520,0,4199612,1
8502,0,4199556,0
8572,0,4204140,1
8531,0,4203664,0
8560,0,4204092,0
8579,0,4204192,1
8583,0,4204220,0
8624,0,4201652,0
8556,0,4203732,1
8621,0,4201640,0
8566,0,4204116,0
8570,0,4204132,0
8606,0,4199656,0
8601,0,4199640,0
8642,0,4496712,0
8626,0,4201660,1
8617,0,4199696,1
8673,0,4496796,0
8705,0,4496884,1
8708,0,4496596,0
8780,0,4199612,1
8762,0,4199556,0
8832,0,4204140,1
8791,0,4203664,0
8820,0,4204092,0
8839,0,4204192,1
8843,0,4204220,0
8884,0,4201652,0
8816,0,4203732,1
8881,0,4201640,0
8826,0,4204116,0
8830,0,4204132,0
8866,0,4199656,0
8861,0,4199640,0
8902,0,4496712,0
8886,0,4201660,1
8877,0,4199696,1
8933,0,4496796,0
8965,0,4496884,1
8968,0,4496596,0
9040,0,4199612,1
9022,0,4199556,0
9092,0,4204140,1
9051,0,4203664,0
9080,0,4204092,0
9099,0,4204192,1
9103,0,4204220,0
9144,0,4201652,0
9076,0,4203732,1
9141,0,4201640,0
9086,0,4204116,0
9090,0,4204132,0
9126,0,4199656,0
9121,0,4199640,0
9162,0,4496712,0
9146,0,4201660,1
9137,0,4199696,1
9193,0,4496796,0
9225,0,4496884,1
9228,0,4496596,0
9300,0,4199612,1
9282,0,4199556,0
9352,0,4204140,1
9311,0,4203664,0
9340,0,4204092,0
9359,0,4204192,1
9363,0,4204220,0
9404,0,4201652,0
9336,0,4203732,1
9401,0,4201640,0
9346,0,4204116,0
9350,0,4204132,0
9386,0,4199656,0
9381,0,4199640,0
9422,0,4496712,0
9406,0,4201660,1
9397,0,4199696,1
9453,0,4496796,0
9485,0,4496884,1
9488,0,4496596,0
9560,0,4199612,1
9542,0,4199556,0
9612,0,4204140,1
9571,0,4203664,0
9600,0,4204092,0
9619,0,4204192,1
9623,0,4204220,0
9664,0,4201652,0
9596,0,4203732,1
9723,0,4496584,0
9726,0,4496596,0
9797,0,4199612,1
9779,0,4199556,0
9849,0,4204140,1
9808,0,4203664,0
9856,0,4204192,1
9837,0,4204092,0
9860,0,4204220,0
9901,0,4201652,0
9661,0,4201640,0
9833,0,4203732,1
9606,0,4204116,0
9610,0,4204132,0
9955,0,4496584,0
9646,0,4199656,0
9641,0,4199640,0
9682,0,4496712,0
9958,0,4496596,0
9666,0,4201660,1
9657,0,4199696,1
10030,0,4199612,1
9898,0,4201640,0
9843,0,4204116,0
9847,0,4204132,0
10012,0,4199556,0
9883,0,4199656,0
10041,0,4203664,0
10082,0,4204140,1
9878,0,4199640,0
10070,0,4204092,0
9919,0,4496712,0
10089,0,4204192,1
10093,0,4204220,0
9903,0,4201660,1
10134,0,4201652,0
10066,0,4203732,1
9894,0,4199696,1
10188,0,4496584,0
10191,0,4496596,0
10263,0,4199612,1
10245,0,4199556,0
10315,0,4204140,1
10274,0,4203664,0
10131,0,4201640,0
10322,0,4204192,1
10076,0,4204116,0
10080,0,4204132,0
10303,0,4204092,0
10326,0,4204220,0
10116,0,4199656,0
10367,0,4201652,0
10111,0,4199640,0
10299,0,4203732,1
10152,0,4496712,0
10421,0,4496584,0
10136,0,4201660,1
10127,0,4199696,1
10424,0,4496596,0
10496,0,4199612,1
10478,0,4199556,0
10548,0,4204140,1
10507,0,4203664,0
10555,0,4204192,1
10364,0,4201640,0
10536,0,4204092,0
10559,0,4204220,0
10309,0,4204116,0
10313,0,4204132,0
10600,0,4201652,0
10349,0,4199656,0
10532,0,4203732,1
10344,0,4199640,0
10385,0,4496712,0
10654,0,4496584,0
10369,0,4201660,1
10360,0,4199696,1
10657,0,4496596,0
10597,0,4201640,0
10542,0,4204116,0
10546,0,4204132,0
10582,0,4199656,0
10577,0,4199640,0
10618,0,4496712,0
10602,0,4201660,1
10593,0,4199696,1
10711,0,4199556,0
10729,0,4199612,1
9952,0,4496796,1
10185,0,4496796,1
10418,0,4496796,1
10651,0,4496796,1
9720,0,4496796,1
10740,0,4203664,0
10769,0,4204092,0
10781,0,4204140,1
10788,0,4204192,1
10792,0,4204220,0
10765,0,4203732,1
10830,0,4201640,0
10775,0,4204116,0
10779,0,4204132,0
10833,0,4201652,0
10810,0,4199640,0
10851,0,4496712,0
10892,0,4496584,0
10815,0,4199656,0
10835,0,4201660,1
10895,0,4496596,0
10826,0,4199696,1
10967,0,4199612,1
10949,0,4199556,0
11019,0,4204140,1
10978,0,4203664,0
11007,0,4204092,0
11026,0,4204192,1
11030,0,4204220,0
11071,0,4201652,0
11003,0,4203732,1
11068,0,4201640,0
11013,0,4204116,0
11017,0,4204132,0
11053,0,4199656,0
11048,0,4199640,0
11089,0,4496712,0
10889,0,4496796,1
11073,0,4201660,1
11064,0,4199696,1
11120,0,4496796,0
11152,0,4496884,1
11155,0,4496596,0
11227,0,4199612,1
11209,0,4199556,0
11279,0,4204140,1
11238,0,4203664,0
11267,0,4204092,0
11286,0,4204192,1
11290,0,4204220,0
11331,0,4201652,0
11263,0,4203732,1
11328,0,4201640,0
11273,0,4204116,0
11277,0,4204132,0
11313,0,4199656,0
11308,0,4199640,0
11349,0,4496712,0
11333,0,4201660,1
11324,0,4199696,1
11380,0,4496796,0
11412,0,4496884,1
11415,0,4496596,1
11418,0,4496584,0
11424,0,4496584,0
11430,0,4496584,1
11421,0,4496596,1
11427,0,4496596,1
11434,0,4496908,1
11437,0,4496536,0
11458,0,4496584,0
11464,0,4496584,0
11455,0,4496596,1
11461,0,4496596,1
11467,0,4496596,0
11539,0,4199612,1
11521,0,4199556,0
11591,0,4204140,1
11550,0,4203664,0
11579,0,4204092,0
11598,0,4204192,1
11602,0,4204220,0
11643,0,4201652,0
11575,0,4203732,1
11640,0,4201640,0
11585,0,4204116,0
11589,0,4204132,0
11625,0,4199656,0
11620,0,4199640,0
11661,0,4496712,0
11645,0,4201660,1
11636,0,4199696,1
11692,0,4496796,0
11724,0,4496884,1
11727,0,4496596,0
11799,0,4199612,1
11781,0,4199556,0
11851,0,4204140,1
11810,0,4203664,0
11839,0,4204092,0
11858,0,4204192,1
11862,0,4204220,0
11903,0,4201652,0
11835,0,4203732,1
11900,0,4201640,0
11845,0,4204116,0
11849,0,4204132,0
11885,0,4199656,0
11880,0,4199640,0
11921,0,4496712,0
11905,0,4201660,1
11896,0,4199696,1
11952,0,4496796,0
11984,0,4496884,1
11987,0,4496596,0
12059,0,4199612,1
12041,0,4199556,0
12111,0,4204140,1
12070,0,4203664,0
12099,0,4204092,0
12118,0,4204192,1
12122,0,4204220,0
12163,0,4201652,0
12095,0,4203732,1
12160,0,4201640,0
12105,0,4204116,0
12109,0,4204132,0
12145,0,4199656,0
12140,0,4199640,0
12181,0,4496712,0
12165,0,4201660,1
12156,0,4199696,1
12212,0,4496796,0
12244,0,4496884,1
12247,0,4496596,0
12319,0,4199612,1
12301,0,4199556,0
12371,0,4204140,1
12330,0,4203664,0
12359,0,4204092,0
12378,0,4204192,1
12382,0,4204220,0
12423,0,4201652,0
12355,0,4203732,1
12420,0,4201640,0
12365,0,4204116,0
12369,0,4204132,0
12405,0,4199656,0
12400,0,4199640,0
12441,0,4496712,0
12425,0,4201660,1
12416,0,4199696,1
12472,0,4496796,0
12504,0,4496884,1
12507,0,4496596,0
12579,0,4199612,1
12561,0,4199556,0
12631,0,4204140,1
12590,0,4203664,0
12619,0,4204092,0
12638,0,4204192,1
12642,0,4204220,0
12683,0,4201652,0
12615,0,4203732,1
12680,0,4201640,0
12625,0,4204116,0
12629,0,4204132,0
12665,0,4199656,0
12660,0,4199640,0
12701,0,4496712,0
12685,0,4201660,1
12676,0,4199696,1
12732,0,4496796,0
12764,0,4496884,1
12767,0,4496596,0
12839,0,4199612,1
12821,0,4199556,0
12891,0,4204140,1
12850,0,4203664,0
12879,0,4204092,0
12898,0,4204192,1
12902,0,4204220,0
12943,0,4201652,0
12875,0,4203732,1
12940,0,4201640,0
12885,0,4204116,0
12889,0,4204132,0
12925,0,4199656,0
12920,0,4199640,0
12961,0,4496712,0
12945,0,4201660,1
12936,0,4199696,1
12992,0,4496796,0
13024,0,4496884,1
13027,0,4496596,0
13099,0,4199612,1
13081,0,4199556,0
13151,0,4204140,1
13110,0,4203664,0
13139,0,4204092,0
13158,0,4204192,1
13162,0,4204220,0
13203,0,4201652,0
13135,0,4203732,1
13200,0,4201640,0
13145,0,4204116,0
13149,0,4204132,0
13185,0,4199656,0
13180,0,4199640,0
13221,0,4496712,0
13205,0,4201660,1
13196,0,4199696,1
13252,0,4496796,0
13284,0,4496884,1
13287,0,4496596,0
13358,0,4199612,1
13340,0,4199556,0
13410,0,4204140,1
13369,0,4203664,0
13398,0,4204092,0
13417,0,4204192,1
13421,0,4204220,0
13462,0,4201652,0
13394,0,4203732,1
13459,0,4201640,0
13404,0,4204116,0
13408,0,4204132,0
13444,0,4199656,0
13439,0,4199640,0
13480,0,4496712,0
13464,0,4201660,1
13455,0,4199696,1
13518,0,4496796,1
13521,0,4496584,0
13524,0,4496596,0
13596,0,4199612,1
13578,0,4199556,0
13648,0,4204140,1
13607,0,4203664,0
13655,0,4204192,1
13636,0,4204092,0
13659,0,4204220,0
13700,0,4201652,0
13632,0,4203732,1
13759,0,4496584,0
13762,0,4496596,0
13834,0,4199612,1
13697,0,4201640,0
13816,0,4199556,0
13886,0,4204140,1
13642,0,4204116,0
13646,0,4204132,0
13845,0,4203664,0
13893,0,4204192,1
13682,0,4199656,0
13874,0,4204092,0
13677,0,4199640,0
13897,0,4204220,0
13718,0,4496712,0
13938,0,4201652,0
13870,0,4203732,1
13702,0,4201660,1
13997,0,4496584,0
13693,0,4199696,1
14000,0,4496596,0
14072,0,4199612,1
14054,0,4199556,0
14124,0,4204140,1
14083,0,4203664,0
13935,0,4201640,0
14131,0,4204192,1
13880,0,4204116,0
13884,0,4204132,0
14112,0,4204092,0
14135,0,4204220,0
13920,0,4199656,0
14176,0,4201652,0
13915,0,4199640,0
14108,0,4203732,1
13956,0,4496712,0
14230,0,4496584,0
13940,0,4201660,1
13931,0,4199696,1
14233,0,4496596,0
14305,0,4199612,1
14287,0,4199556,0
14357,0,4204140,1
14316,0,4203664,0
14364,0,4204192,1
14173,0,4201640,0
14368,0,4204220,0
13756,0,4496796,1
14118,0,4204116,0
14122,0,4204132,0
14345,0,4204092,0
14409,0,4201652,0
14158,0,4199656,0
14341,0,4203732,1
14153,0,4199640,0
14194,0,4496712,0
14468,0,4496584,0
14178,0,4201660,1
14169,0,4199696,1
14471,0,4496596,0
14543,0,4199612,1
14525,0,4199556,0
14595,0,4204140,1
14554,0,4203664,0
14406,0,4201640,0
14602,0,4204192,1
14351,0,4204116,0
14355,0,4204132,0
14583,0,4204092,0
14606,0,4204220,0
14391,0,4199656,0
14647,0,4201652,0
14386,0,4199640,0
14579,0,4203732,1
14427,0,4496712,0
